TrainOrTest,Target,Location,Data split ratio,Median,OW,OW*,CWM,CEWM,SSIN,SSDE,RegE,RegC,RegS,Lambda_RegE,Lambda_RegC,Lambda_RegS
Train,1,1,1,-0.1891,0.4991,0.3129,-0.0569,0.1100,0.2624,0.2886,0.0000,0.2638,0.2886,,,
Train,1,1,2,0.0483,0.3444,0.2260,0.1864,0.1451,0.2098,0.2098,0.0083,0.1917,0.2126,,,
Train,1,1,3,0.1028,0.3064,0.2382,0.1962,0.1846,0.2308,0.2308,0.3064,0.2021,0.2325,,,
Train,1,1,4,-0.0510,0.3870,0.3480,0.2936,0.2644,0.3225,0.3267,0.2246,0.2966,0.3299,,,
Train,1,1,5,-0.0584,0.2987,0.2530,0.2022,0.1841,0.2341,0.2341,0.2987,0.2327,0.2373,,,
Train,1,1,6,0.0159,0.3192,0.2821,0.2247,0.1874,0.2626,0.2626,0.3192,0.2268,0.2634,,,
Train,1,1,7,-0.0059,0.2508,0.2359,0.2004,0.1683,0.2213,0.2213,0.2508,0.2049,0.2227,,,
Train,1,1,8,-0.0138,0.2181,0.2020,0.1713,0.1642,0.1956,0.1956,0.2181,0.1942,0.1956,,,
Train,1,1,9,-0.0064,0.1910,0.1774,0.1603,0.1553,0.1728,0.1728,0.0101,0.1605,0.1729,,,
Train,1,2,1,0.0740,0.5488,0.3020,0.2493,0.2336,0.3014,0.3014,0.0000,0.2696,0.3020,,,
Train,1,2,2,0.0969,0.3688,0.2816,0.2720,0.2603,0.2808,0.2808,0.2049,0.2720,0.2808,,,
Train,1,2,3,0.1118,0.3449,0.2548,0.2350,0.2354,0.2542,0.2542,0.3449,0.2350,0.2947,,,
Train,1,2,4,0.1066,0.3029,0.2046,0.1822,0.1585,0.2034,0.2034,0.3029,0.1822,0.2034,,,
Train,1,2,5,0.1132,0.3390,0.2314,0.2080,0.1440,0.2280,0.2280,0.3390,0.2126,0.2282,,,
Train,1,2,6,0.1083,0.3072,0.2259,0.2079,0.1498,0.2247,0.2247,0.3072,0.2079,0.2247,,,
Train,1,2,7,0.1041,0.2988,0.2242,0.2048,0.1517,0.2223,0.2223,0.2988,0.2048,0.2341,,,
Train,1,2,8,0.0987,0.2807,0.2182,0.2011,0.1474,0.2170,0.2170,0.2807,0.2035,0.2188,,,
Train,1,2,9,0.0840,0.2492,0.1957,0.1814,0.1339,0.1932,0.1932,0.2492,0.1814,0.1932,,,
Train,1,3,1,-0.0403,0.6551,0.2780,0.2670,0.2402,0.2778,0.2778,0.0000,0.2676,0.2779,,,
Train,1,3,2,-0.0063,0.4522,0.2481,0.2426,0.1838,0.2418,0.2418,0.4522,0.2807,0.2887,,,
Train,1,3,3,0.0277,0.3345,0.2211,0.2098,0.1531,0.2208,0.2208,0.3345,0.2155,0.2336,,,
Train,1,3,4,0.0251,0.2460,0.1826,0.1578,0.1175,0.1820,0.1820,0.1165,0.1583,0.1822,,,
Train,1,3,5,0.0144,0.2260,0.1899,0.1606,0.1147,0.1880,0.1880,0.2260,0.1625,0.1880,,,
Train,1,3,6,0.0273,0.2290,0.2055,0.1879,0.1298,0.2044,0.2044,0.2290,0.1883,0.2046,,,
Train,1,3,7,0.0105,0.2168,0.1871,0.1738,0.1124,0.1862,0.1862,0.2168,0.1739,0.1863,,,
Train,1,3,8,-0.0009,0.1986,0.1363,0.0938,0.0755,0.1268,0.1317,0.1986,0.1986,0.1318,,,
Train,1,3,9,0.0168,0.2173,0.1693,0.1538,0.0995,0.1680,0.1680,0.2173,0.1550,0.1681,,,
Train,1,4,1,0.0117,0.6761,0.3347,0.1127,0.1154,0.2987,0.3035,0.3333,0.1288,0.3612,,,
Train,1,4,2,0.1067,0.5325,0.3400,0.2123,0.1937,0.2792,0.2792,0.5325,0.5325,0.2847,,,
Train,1,4,3,0.1325,0.3428,0.2842,0.1883,0.1761,0.2675,0.2675,0.3428,0.2073,0.2731,,,
Train,1,4,4,0.0141,0.3333,0.2263,0.1704,0.1291,0.2200,0.2200,0.1375,0.1716,0.2259,,,
Train,1,4,5,0.0139,0.2731,0.2095,0.1631,0.1364,0.2060,0.2060,0.0503,0.1635,0.2191,,,
Train,1,4,6,0.0241,0.3419,0.2157,0.1871,0.1648,0.2142,0.2142,0.3419,0.1876,0.2499,,,
Train,1,4,7,0.0262,0.3228,0.2067,0.1790,0.1572,0.2038,0.2038,0.3228,0.1902,0.2043,,,
Train,1,4,8,0.0167,0.2987,0.2034,0.1731,0.1564,0.2003,0.2003,0.1694,0.1843,0.2079,,,
Train,1,4,9,0.0271,0.2723,0.1927,0.1686,0.1634,0.1909,0.1909,0.2723,0.1686,0.1949,,,
Train,1,5,1,-0.0761,0.7947,0.4650,0.1805,0.2612,0.3975,0.3675,0.7637,0.7640,0.7634,,,
Train,1,5,2,-0.0442,0.4573,0.2869,0.0081,0.1527,0.2564,0.2342,0.0632,0.0933,0.2349,,,
Train,1,5,3,-0.0593,0.3610,0.2450,-0.0073,0.1682,0.1873,0.1873,0.0508,0.3610,0.2156,,,
Train,1,5,4,-0.0353,0.2723,0.2160,0.0558,0.1103,0.1721,0.1721,0.0038,0.1143,0.1761,,,
Train,1,5,5,-0.0103,0.2473,0.2025,0.0896,0.1110,0.1587,0.1629,0.0468,0.0905,0.1738,,,
Train,1,5,6,0.0073,0.2927,0.2424,0.1560,0.1118,0.1804,0.1772,0.2927,0.1562,0.2341,,,
Train,1,5,7,0.0090,0.2782,0.2238,0.1519,0.1097,0.1721,0.1712,0.2782,0.1576,0.1712,,,
Train,1,5,8,0.0169,0.2636,0.2145,0.1556,0.1094,0.1747,0.1747,0.2636,0.1559,0.1748,,,
Train,1,5,9,0.0313,0.2731,0.2283,0.1802,0.1349,0.1984,0.1984,0.2731,0.1802,0.1984,,,
Train,1,6,1,-0.0307,0.5667,0.2353,0.1496,0.1261,0.2333,0.2333,0.0047,0.2016,0.2816,,,
Train,1,6,2,0.0587,0.3997,0.2449,0.2046,0.2315,0.2329,0.2329,0.0000,0.2046,0.2329,,,
Train,1,6,3,0.0022,0.3555,0.2537,0.1717,0.1951,0.2345,0.2417,0.0781,0.1782,0.2417,,,
Train,1,6,4,-0.0166,0.2588,0.1323,-0.0198,0.0416,0.1115,0.1229,0.0965,0.0990,0.1308,,,
Train,1,6,5,-0.0462,0.2518,0.1373,-0.0140,0.0192,0.1248,0.1248,0.0000,-0.0140,0.1248,,,
Train,1,6,6,-0.0626,0.3429,0.1833,0.0749,0.0691,0.1614,0.1614,0.0027,0.0750,0.1618,,,
Train,1,6,7,-0.0638,0.2951,0.1765,0.0684,0.0655,0.1542,0.1542,0.0138,0.0829,0.1620,,,
Train,1,6,8,-0.0523,0.2881,0.1767,0.0790,0.0719,0.1524,0.1524,0.0000,0.0906,0.1685,,,
Train,1,6,9,-0.0360,0.2433,0.1660,0.0934,0.0706,0.1541,0.1541,0.0601,0.1094,0.1599,,,
Train,1,7,1,-0.0112,0.6363,0.2707,0.1737,0.1706,0.2262,0.2262,0.0307,0.1737,0.2262,,,
Train,1,7,2,0.0506,0.4713,0.2762,0.2174,0.1264,0.2536,0.2536,0.4713,0.2174,0.2536,,,
Train,1,7,3,0.0530,0.3327,0.2028,0.1738,0.1477,0.1825,0.1864,0.3327,0.1938,0.1864,,,
Train,1,7,4,0.0741,0.3423,0.2768,0.2013,0.1841,0.2472,0.2609,0.3423,0.2638,0.2653,,,
Train,1,7,5,0.0646,0.3834,0.2887,0.2177,0.1992,0.2532,0.2742,0.3834,0.3834,0.2764,,,
Train,1,7,6,0.0454,0.3195,0.2239,0.1946,0.1707,0.2127,0.2127,0.0142,0.2077,0.2190,,,
Train,1,7,7,0.0474,0.2894,0.2152,0.1907,0.1656,0.2044,0.2044,0.2894,0.1906,0.2028,,,
Train,1,7,8,0.0466,0.2547,0.1967,0.1770,0.1528,0.1877,0.1877,0.0162,0.1857,0.1890,,,
Train,1,7,9,0.0569,0.2567,0.1958,0.1788,0.1569,0.1917,0.1917,0.2567,0.1788,0.1917,,,
