TrainOrTest,Data,Sample Size,Median,OW,OW*,CWM,CEWM,SSIN,SSDE,RegE,RegC,RegS,Lambda_RegE,Lambda_RegC,Lambda_RegS
Train,Inflation,1,0.0211,0.6705,0.3069,0.2559,0.2346,0.3042,0.3042,0.6638,0.6457,0.5795,,,
Train,Inflation,2,0.0179,0.5142,0.2452,0.1847,0.1458,0.2449,0.2449,0.5136,0.5088,0.4972,,,
Train,Inflation,3,0.0141,0.4143,0.2163,0.1680,0.1195,0.2150,0.2150,0.3854,0.3545,0.4050,,,
Train,Inflation,4,0.0104,0.3579,0.2277,0.1712,0.1304,0.2277,0.2277,0.3398,0.3446,0.3351,,,
Train,Inflation,5,-0.0021,0.2591,0.1568,0.1331,0.0948,0.1457,0.1457,0.2581,0.2499,0.2574,,,
Train,Inflation,6,0.0014,0.2165,0.1260,0.1161,0.0768,0.1249,0.1249,0.2103,0.2117,0.2156,,,
Train,Inflation,7,0.0039,0.0867,0.0393,0.0357,0.0301,0.0391,0.0391,0.0655,0.0738,0.0751,,,
Train,Inflation,8,0.0066,0.1533,0.0603,0.0568,0.0477,0.0577,0.0577,0.1522,0.1320,0.1510,,,
Train,Inflation,9,0.0033,0.1708,0.0754,0.0692,0.0465,0.0698,0.0698,0.1657,0.1541,0.1677,,,
Train,Unemployment,1,0.0204,0.3532,0.1277,0.0935,0.0788,0.1274,0.1274,0.2966,0.2967,0.3157,,,
Train,Unemployment,2,0.0290,0.2770,0.1225,0.0894,0.0386,0.1216,0.1216,0.2691,0.2617,0.2691,,,
Train,Unemployment,3,0.0392,0.2938,0.1356,0.0894,0.0475,0.1353,0.1353,0.2902,0.2829,0.2912,,,
Train,Unemployment,4,0.0310,0.1959,0.1044,0.0730,0.0368,0.1038,0.1038,0.1873,0.1859,0.1913,,,
Train,Unemployment,5,0.0140,0.1138,0.0573,0.0515,0.0524,0.0524,0.0524,0.1101,0.1021,0.0790,,,
Train,Unemployment,6,0.0259,0.1415,0.0783,0.0645,0.0491,0.0755,0.0755,0.1035,0.1211,0.1226,,,
Train,Unemployment,7,0.0177,0.1215,0.0713,0.0490,0.0452,0.0663,0.0663,0.1020,0.1035,0.1123,,,
Train,Unemployment,8,0.0124,0.0803,0.0609,0.0430,0.0341,0.0559,0.0559,0.0592,0.0689,0.0725,,,
Train,Unemployment,9,0.0085,0.0799,0.0593,0.0503,0.0367,0.0485,0.0485,0.0628,0.0678,0.0648,,,
Test,Inflation,1,0.0036,-0.2461,-0.0185,0.0065,0.0067,-0.0236,-0.0236,-0.2197,-0.1704,-0.1511,0.04,0.07,0.19
Test,Inflation,2,0.0033,-0.2130,-0.0273,-0.0014,0.0058,-0.0289,-0.0289,-0.2150,-0.1950,-0.2025,0.03,0.10,0.13
Test,Inflation,3,0.0032,-0.2267,-0.0326,-0.0597,-0.0540,-0.0356,-0.0356,-0.2126,-0.1859,-0.2031,0.45,0.80,0.18
Test,Inflation,4,0.0034,-0.2203,-0.0429,-0.0621,-0.0744,-0.0429,-0.0429,-0.2064,-0.2106,-0.1761,0.56,0.49,0.62
Test,Inflation,5,0.0060,-0.1938,-0.0579,-0.0489,-0.0360,-0.0499,-0.0499,-0.1851,-0.1585,-0.1816,0.15,0.49,0.18
Test,Inflation,6,0.0057,-0.2897,-0.0979,-0.0948,-0.0493,-0.1069,-0.1069,-0.2342,-0.2433,-0.2742,0.60,0.56,0.21
Test,Inflation,7,0.0048,0.0458,-0.0615,-0.0179,0.0217,-0.0543,-0.0543,0.0756,0.0435,0.0176,2.00,2.00,2.00
Test,Inflation,8,-0.0114,0.0314,0.0747,0.0870,0.0784,0.0326,0.0326,0.0569,0.1300,0.0640,0.48,3.00,0.76
Test,Inflation,9,0.0731,-0.9002,-0.5212,-0.3251,-0.0990,-0.6382,-0.6382,-0.7593,-0.6842,-0.8549,1.00,3.00,0.83
Test,Unemployment,1,0.0015,-0.0593,-0.0898,-0.0175,-0.0138,-0.0952,-0.0952,-0.0537,-0.0308,-0.0676,1.00,1.00,1.00
Test,Unemployment,2,-0.0015,-0.0165,0.0089,0.0168,0.0179,0.0078,0.0078,0.0012,0.0089,0.0050,0.67,1.00,0.71
Test,Unemployment,3,-0.0064,-0.0598,-0.0012,0.0266,0.0140,-0.0027,-0.0027,-0.0406,-0.0287,-0.0430,0.57,1.00,0.45
Test,Unemployment,4,-0.0050,-0.0086,0.0046,0.0264,0.0165,0.0029,0.0029,0.0120,0.0139,0.0101,0.86,1.00,0.67
Test,Unemployment,5,-0.0032,-0.0126,0.0291,0.0411,0.0129,0.0129,0.0129,0.0045,0.0191,0.0173,1.00,2.00,4.00
Test,Unemployment,6,-0.0319,-0.1167,-0.0212,0.0254,0.0190,-0.0489,-0.0489,-0.0682,-0.0441,-0.0862,6.00,4.00,4.00
Test,Unemployment,7,-0.0529,-0.3396,-0.1270,-0.0654,-0.0508,-0.1237,-0.1237,-0.2240,-0.1934,-0.2871,6.00,6.00,4.00
Test,Unemployment,8,-0.0457,-0.0239,-0.0422,0.0442,-0.0210,-0.1292,-0.1292,-0.0823,0.0005,-0.0950,6.00,5.00,5.00
Test,Unemployment,9,-0.0457,0.1033,0.0522,0.1278,0.0484,0.1351,0.1351,0.0693,0.1025,0.1354,5.00,5.00,9.00
Train,1,1,-0.3318,0.0668,0.0670,0.0266,0.0364,0.0000,0.0364,0.0000,0.0266,0.0364,,,
Train,1,2,-0.0381,0.0848,0.0460,0.0158,0.0349,0.0349,0.0349,0.0000,0.0158,0.0349,,,
Train,1,3,-0.0341,0.0370,0.0283,-0.0193,0.0197,0.0197,0.0197,0.0000,-0.0193,0.0197,,,
Train,1,4,-0.0191,0.0065,0.0065,-0.0075,0.0029,0.0029,0.0029,0.0000,-0.0075,0.0029,,,
Train,1,5,-0.0366,0.0100,0.0094,0.0060,0.0053,0.0053,0.0053,0.0000,0.0060,0.0053,,,
Train,1,6,-0.0251,0.0133,0.0102,0.0061,0.0099,0.0099,0.0099,0.0000,0.0061,0.0099,,,
Train,1,7,-0.0215,0.0202,0.0189,0.0024,0.0177,0.0177,0.0177,0.0000,0.0024,0.0177,,,
Train,1,8,-0.0679,0.1023,NA,0.0904,0.0751,0.0751,0.0751,0.1008,0.0904,0.0751,,,
Train,1,9,-0.0342,0.0377,NA,0.0317,0.0325,0.0325,0.0325,0.0000,0.0317,0.0325,,,
Train,2,1,-0.1137,0.2323,0.2166,-0.0251,0.1811,0.1811,0.1811,0.0000,0.1739,0.1811,,,
Train,2,2,-0.0034,0.0504,0.0381,0.0246,0.0353,0.0353,0.0353,0.0000,0.0246,0.0353,,,
Train,2,3,-0.0295,0.0473,0.0325,0.0324,0.0268,0.0290,0.0290,0.0000,0.0324,0.0290,,,
Train,2,4,-0.0117,0.0164,0.0163,0.0130,0.0160,0.0160,0.0160,0.0000,0.0130,0.0160,,,
Train,2,5,0.0066,0.0766,0.0565,0.0546,0.0519,0.0519,0.0519,0.0000,0.0546,0.0519,,,
Train,2,6,0.0223,0.0399,0.0093,0.0303,0.0288,0.0293,0.0293,0.0000,0.0303,0.0293,,,
